source_id,restaurant_id,source_type,language,source_url,collected_at,license_note,local_path,notes
menu_000201,rest_000201,html,en,https://www.panerabread.com/en-us/menu.html,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Panera Bread menu source.
menu_000202,rest_000202,pdf,en,https://www.marlowbistro.com/menu/patio-menu/,2026-03-09,Public restaurant menu PDF referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Marlow Bistro menu source.
menu_000203,rest_000203,html,en,https://www.starbucks.com/menu,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Starbucks menu source.
menu_000204,rest_000204,image,en,https://www.3321bistro.com/menu,2026-03-09,Public restaurant menu image referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public 3321 Bistro menu source.
menu_000205,rest_000205,html,en,https://shakeshack.com/menu,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Shake Shack menu source.
menu_000206,rest_000206,pdf,en,https://www.ourhousebistro.com/winooski-dine-in-menu/menu-pdf/,2026-03-09,Public restaurant menu PDF referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Our House Bistro menu source.
menu_000207,rest_000207,html,en,https://www.chipotle.com/menu,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Chipotle menu source.
menu_000208,rest_000208,pdf,en,https://www.labrochettebistro.com/page/our-menu-pdf,2026-03-09,Public restaurant menu PDF referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public La Brochette Bistro menu source.
menu_000209,rest_000209,image,en,https://www.tripadvisor.com/LocationPhotoDirectLink-g53158-d735371-i383720414-Pinocchio_s_Restaurant_and_Beer_Garden_To_Go-Media_Pennsylvania.html,2026-03-09,Public restaurant menu image referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Pinocchio's Restaurant and Beer Garden To Go menu source.
menu_000210,rest_000210,html,en,https://www.olivegarden.com/menu-listing,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Olive Garden menu source.
menu_000211,rest_000211,pdf,en,https://www.chardonhouston.com/menu/bistro-menu/,2026-03-09,Public restaurant menu PDF referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public Chardon Bistro menu source.
menu_000212,rest_000212,html,en,https://www.ihop.com/en/menu,2026-03-09,Public restaurant menu page referenced for research and manual normalization; raw assets are not redistributed.,,Manually normalized item subset from the public IHOP menu source.
